"NAME","TOTPOP","RATED","STATE"
"Mecklenburg County Sheriffs Office",1373,1788,34
"New Hanover County Sheriffs Office",524,672,34
"Pamlico County Detention Center",79,108,34
"Pender County Sheriffs Office",53,92,34
"Wake County Sheriffs Office",1515,1568,34
"Bertie-Martin Regional Jail",68,90,34
"Albemarle District Jail",198,248,34
"Cass County Jail",342,348,35
"McKenzie County Correctional Facility",25,135,35
"Richland County Sheriffs Department",31,32,35
"Burleigh/Morton Detention Center",237,441,35
"Heart of America Correctional and Treatment Center",77,142,35
"Lake Region Law Enforcement Center",69,105,35
"Lake Region Reentry Center",23,28,35
"Southwest Multi-County Correction Center (SWMCCC)",88,123,35
"Allen County Sheriffs Office",170,216,36
"Butler County Sheriffs Office",945,1150,36
"Clark County Sheriffs Office",218,181,36
"Clermont County Sheriffs Office",331,370,36
"Coshocton County Sheriffs Office",37,15,36
"Crawford County Sheriffs Office",110,121,36
"Cuyahoga County Sheriffs Office",1703,1880,36
"Delaware County Sheriffs Office",128,286,36
"Fairfield County Sheriffs Office",251,384,36
"Franklin County Sheriffs Office",1806,1883,36
"Gallia County Sheriffs Office",74,11,36
"Geauga County Sheriffs Office",122,182,36
"Greene County Sheriffs Office",192,382,36
"River City Correctional Center",139,220,36
"Hamilton County Sheriffs Office",1080,1787,36
"Jefferson County Sheriffs Department",132,132,36
"Knox County Sheriffs Office",87,100,36
"Lake County Sheriffs Office",292,429,36
"Lorain County Sheriffs Office",386,422,36
"Medina County Sheriffs Office",212,256,36
"Miami County Sheriffs Office",155,295,36
"Montgomery County Sheriffs Office",579,443,36
"Ottawa County Sheriffs Office",81,87,36
"Portage County Sheriffs Office",189,362,36
"Richland County Sheriffs Office",200,234,36
"Ross County Sheriffs Office",105,102,36
"Scioto Sheriffs Office",203,190,36
"Seneca County Sheriffs Office",161,185,36
"Shelby County Sheriffs Office",94,188,36
"Stark County Sheriffs Office",441,534,36
"Summit County Sheriffs Office",523,791,36
"Trumbull County Sheriffs Office",247,314,36
"Warren County Sheriffs Office",296,498,36
"Wayne County Sheriffs Office",148,102,36
"Conneaut Police Department",6,5,36
"Lyndhurst Police Department",1,7,36
"North Olmsted Police Department",0,9,36
"Southeastern Ohio Regional Jail",212,190,36
"Tri-County Regional Jail",142,160,36
"Multi-County Correctional Center",225,245,36
"Correction Center of Northwest Ohio",588,688,36
"Blaine County Sheriffs Office",45,35,37
"Bryan County Sheriffs Office",112,167,37
"Choctaw County Sheriff Office",86,107,37
"Ellis County Sheriffs Office",28,31,37
"Grady County Criminal Justice Authority",560,760,37
"Kingfisher County Sheriffs Office",26,109,37
"LeFlore County Detention Center",164,186,37
"Oklahoma County Sheriffs Office",1603,2890,37
"Okmulgee County Criminal Justice Authority",437,529,37
"Ottawa County Sheriffs Office",88,124,37
"Pottawatomie County Public Safety Center",371,366,37
"Roger Mills County Sheriffs Office",4,28,37
"Rogers County Sheriffs Office",188,240,37
"Tillman County Jail Trust Authority",86,96,37
"Tulsa County Sheriffs Office",1365,2014,37
"Clackamas County Sheriffs Office",336,491,38
"Columbia County Sheriffs Office",147,180,38
"Douglas County Sheriffs Office",147,281,38
"Jackson County Sheriffs Office",338,346,38
"Lane County Sheriffs Office",624,382,38
"Linn County Sheriffs Office",189,231,38
"Marion County Sheriffs Office",625,559,38
"Multnomah County Sheriffs Office",1239,1117,38
"Yamhill County Sheriff Office",99,245,38
"Northern Oregon Regional Corrections Facility",137,180,38
"Adams County Adult Correctional Complex",210,449,39
"Renewal Inc.",431,672,39
"Allegheny County Bureau of Corrections",1552,3223,39
"The Program for Offenders",40,106,39
"Berks County Jail System",769,865,39
"Blair County Prison",346,350,39
"Bradford County Correctional Facility",258,207,39
"Bucks County Department of Corrections",843,1175,39
"Cambria County Prison",377,491,39
"Carbon County Correctional Facility",144,247,39
"Centre County Correctional Facility",198,397,39
